CAINC30 Economic profile
CAINC30 Economic profile
County
GeoFips,GeoName,LineCode,Description,2021
37129,"New Hanover, NC",180,"  Earnings by place of work",9893394
37129,"New Hanover, NC",190,"    Wages and salaries",7429478
37129,"New Hanover, NC",240,Total employment (number of jobs),170530
37131,"Northampton, NC",,Place of residence profile,
37131,"Northampton, NC",10,Personal income (thousands of dollars),800650
37131,"Northampton, NC",100,"  Population (persons) 3/",17129
37131,"Northampton, NC",,Place of work profile (thousands of dollars),
37131,"Northampton, NC",180,"  Earnings by place of work",336869
37131,"Northampton, NC",190,"    Wages and salaries",241999
37131,"Northampton, NC",240,Total employment (number of jobs),7101
37133,"Onslow, NC",,Place of residence profile,
37133,"Onslow, NC",10,Personal income (thousands of dollars),10487249
37133,"Onslow, NC",100,"  Population (persons) 3/",206160
37133,"Onslow, NC",,Place of work profile (thousands of dollars),
37133,"Onslow, NC",180,"  Earnings by place of work",7350793
37133,"Onslow, NC",190,"    Wages and salaries",5006926
37133,"Onslow, NC",240,Total employment (number of jobs),114004
37135,"Orange, NC",,Place of residence profile,
37135,"Orange, NC",10,Personal income (thousands of dollars),11165424
37135,"Orange, NC",100,"  Population (persons) 3/",148884
37135,"Orange, NC",,Place of work profile (thousands of dollars),
37135,"Orange, NC",180,"  Earnings by place of work",7552877
37135,"Orange, NC",190,"    Wages and salaries",5452859
37135,"Orange, NC",240,Total employment (number of jobs),107420
37137,"Pamlico, NC",,Place of residence profile,
37137,"Pamlico, NC",10,Personal income (thousands of dollars),658619
37137,"Pamlico, NC",100,"  Population (persons) 3/",12344
37137,"Pamlico, NC",,Place of work profile (thousands of dollars),
37137,"Pamlico, NC",180,"  Earnings by place of work",197552
37137,"Pamlico, NC",190,"    Wages and salaries",128678
37137,"Pamlico, NC",240,Total employment (number of jobs),5235
37139,"Pasquotank, NC",,Place of residence profile,
37139,"Pasquotank, NC",10,Personal income (thousands of dollars),1919994
37139,"Pasquotank, NC",100,"  Population (persons) 3/",40821
